,comment
0,"Obrigado, gente! Valeu por dedicarem um pouquinho do domingo de vcs pra nos ouvirem. Que essa canção passa ser uma oração de alento em seus corações como foi para mim. Gratidão! 🙏"
1,"mauro, meu irmão… q música linda!!! q privilégio cantá-la ao seu lado! essa música ME fez muito bem, ministrou na minha vida! q seja bênção para todo q a escutarem! parabéns tb a toda a equipe de audio e video, sua banda maravilhosa, a casa de babete… q alegria!!! 😢"
2,Dois monstros da música! Ficou lindo
3,"Obrigado pelo lindo presente, que nos faz conectar a Deus ❤"
4,Minha esposa e eu acabamos de perder um Bebê e esta canção tem sido um porto seguro para minha alma... QUE DEUS CONTINUE ABENÇOANDO  VCS🙌🏿
5,Chega ser emocionante ver o Leonardo mostrando que doença nenhuma para um sonho.. essa música e os dois é algo incrível
6,"A música é incrível, mas quando vc descobre pelo o que o Leonardo Gonçalves está passando em sua saúde vocal o peso e impacto dela aumenta uns 1000%!!!"
7,"Ver o Léo cantar apesar de tudo é um prazerzaço , ainda mais em um dueto com o mestre Mauro Henrique   cantando essa canção belíssima com uma letra sensacional e que ministrou em minha vida que apesar do venhamos enfrentar nesta vida se Cristo está em mim e estou olhando para ti , TUDO FICA BEM !"
8,"A minha esposa foi embora levando a minha filha  e tudo dentro de casajá tem uma semana , estou sem chão estou lutando para o meu casamento ser restaurado peço a oração de todos!"
9,Impossível não se emocionar ouvindo esses monstros!! Glória a Deus 🙏🙏
10,"tipo Elias e moises
Paulo e Timoteo
Cr7 e Messi
Brasil e Copa do mundo"
11,"Mauro: Obrigado meu amigo!
Leo: Eu que agradeço!
Eu: Nós que agradecemos! ❤"
12,Creio que Deus já operou as cordas vocais do Leonardo Gonçalves. Linda demais essa canção
13,"Galera, se fizer sentido, compartilhem geral, sigam o canal e dá aquele like para ajudar no engajamento do vídeo! 🙌😉"
14,Ficou muito lindo esse louvor. Deus seja louvado 🙌🙏 Vocês são bençãos e nos aproximam de Deus com suas canções. ❤️
15,"Que isso irmão. Prepara a gente antes pra receber esse feat. Emocionado aqui.
Tudo realmente ficará bem."
16,"Meu Deus, que canção tão linda!😭❤🙏 
""Tu me salva de mim mesmo e do cansaço da estrada... Tudo fica bem se olho para Ti, se te percebo em mim.""
Mauro e Leonardo 👏👏❤"
17,A voz do leonardo está se recuperando? Deus está fazendo um milagre? Não vi quebrando a voz dele. Que maravilha! Maravilha!
18,"Não consigo explicar a grandeza que essa canção é dentro da alma, e a imensa vontade de chorar ao ver o Léo cantando. Que canção maravilhosa, meu Deus!"
19,"Impressionante que mesmo com praticamente um lado todo das cordas vocais paralizado, Leonardo Goncalves ainda consegue cantar com essa beleza. Tai ai uma lenda!"
20,"Se o Léo canta assim, sem o potencial total da voz, uma suavidade na voz única, e sempre humilde, deus o abençoe muito."
21,Quem já chegou deixando o like porque sabia que tinha ficado show só pelo fato de ser Mauro Henrique e Leo Gonçalves 😍❤️ eu sim 🤭
22,"Tô quase cantando bem igual o Mauro, mas quando tiro os fones me decepciono kkkkkkkkk"
