,comment
50,"A vida inteira me escondendo pra não te encontrar
Te transformei num jeito de pensar
Em uma lei que eu tinha que guardar
Imitei canções e versos pra impressionar"
51,Falou demais ao meu coração. O que a alma que realmente quer encontrar Cristo grita...
52,Essa música nos inspira a viver o evangelho verdadeiro ❤
53,ESSA É A VOZ MAIS LINDA DO MUNDOOOOOOOOOOOOOOOOOOOOOOOOOOOOO GLÓRIA A DEUS POR ESSA VOZ E PELA MENSAGEM.
54,"A primeira vez ouvi meio por cima, quase nem prestei atenção na letra, então escutei de novo e não consigo mais parar. Que letra maravilhosa, isso é evangelho!"
55,"""Pois eu também sou seu pequenino"" Aleluia!"
56,"Para mim um dos melhores artistas! Além de uma versatilidade vocal incrível, é  multi-instrumentista  talentoso e criativo. Suas canções são poéticas, e cheias de ideias relevantes, que são bem interpretadas pelo cantor. A junção de todos os seus recursos musicais, nos levam a uma profunda reflexão..."
57,Letra maravilhosa😭🤩❤
58,Deus seja louvado! Deus te abençoe Mauro!
59,Cara chorei Mauro Que Benção de canção q voz magnífica Que Deus continue abençoando Toda a sua vida
60,"meu deus  eu nao paro de refleti sobre o pequenino 
obrigado Mauro Henrique"
61,Mauro começou 2020 com tudo... Parabéns ....❤️🎶
62,"""Ainda que eu falasse as línguas dos homens e dos anjos, se não tiver caridade, sou como o bronze que soa, ou como o címbalo que retine.
Mesmo que eu tivesse o dom da profecia, e conhecesse todos os mistérios e toda a ciência; mesmo que tivesse toda a fé, a ponto de transportar montanhas, se não tiver caridade, não sou nada."
63,"Do nada achei essa canção, e não consigo parar de ouvir, muito inspiradora."
64,"Mauro meu filho de 1 ano pode ouvir todas as playlist que existir, mais só dorme depois que ouve sua voz cara. Kkkk
Cara Deus te abençoe cada vez mais."
65,ouvir sua musica me deixa com o meu coraçao transbordando de felicidade. otmas palavras parabens pelo dom. =)
66,"Mano querido do Coração !!!!

Pois eu também sou Teu pequenino  !  [Ouvir e Assistir em Loop sem parar] "
67,Viciada nessa canção!!!!!
68,Melhor música que o Mauro ja fezz
69,"Mauro, você não tem ideia do soco que essa música me deu... Fiquei em choque! Muito forte essa letra. Que o Senhor Deus te abençoe a cada dia mais!"
70,"rapaz... letra, arranjo e voz! que música incrível, que letra incrível! Deus te abençoe, meu irmão"
71,"EU 
NÃO 
CONSIGO 
PARAR "
72,Esse refrão da canção é MT lindo parabéns pelo dom
73,Repito: Estou descobrindo as melhores músicas nesta pandemia.
74,"É, não  tem nenhuma recomendação vinda através de supercombo/scatolove que seja ruim, melhor ainda qnd edifica S2"
75,"Amo essa canção ❤️
Muito linda 👏🏼👏🏼👏🏼👏🏼"
76,Que mensagem forte!!! Glória a Deus!
77,"Que música é essa parabéns, ouvindo toda hora, top demais. Deus abençoe"
78,Quando alimentei enfim vi Cristo! ❤️
79,"""Quando abracei, quando visitei, quando alimentei, enfim vi Cristo"" ...  Meu novo vício! Música linda, letra linda. Que essa canção alcance muitas vidas."
80,"Que música maravilhosa, cara!
 ""Quando alimentei enfim vi Cristo"""
81,"E eu achando que não ia levar outro tapa na cara igual ao de quando ouvi sua versão de aonde está Deus, tomei kkkkkk"
82,"Deus te abençoe por esse imenso talento de compor uma música tão tocante,,, estou emocionado 👏🏻👏🏻👏🏻"
83,"Musica divina, trabalho incrível Mauro! 
Obrigado por essa canção!"
84,"Já deu certo Mauro, que linda música"
85,Que mais músicas e cantores assim!
86,ATRAVES DE VOCE MAURO MUITAS PESSOAS VAO SE CONVERTER E SE ENTREGAR A JESUS
87,"Aeee Mauro, quando estava desviada voltei a ouvir oficina e o show DDG me fez voltar a atenção novamente a Cristo! Mas de todas, João me faz chorar toda vez que ouço! Muito obrigado, Deus abençoe sua caminhada irmão 🙏🏻"
88,"Mauro, você é incrível cara. Deus te abençoe sempre!"
89,"Parabéns, Mauro! Que canção linda!! Não somente o amor que sinto nas suas canções, mas a unção que transmite faz a diferença nos dias de hoje. Deus abençoe!"
90,"Conheci hoje, e cara... fantástico! Grava ai: VOCÊ IRÁ LONGEEEEEEE!"
91,"Surpreendida em cada detalhe. Bom mesmo. Bom demais da conta, como diria aqui no meu Goiás!
A letra é uma pregação maravilhosa!!!"
92,Acho que Deus te usou pra falar comigo através dessa canção!!!
93,"Tudo lindo, voz linda, música linda, mas esse visual teen já deu..."
94,"Pensa numa música que falou comigo. Cara música muito linda, está de parabéns continue sempre assim  deixe  Deus te usar."
95,Amei Mauro... Deus venha te inpirar muito.. Blessed!
96,"Cara, a essência! E é tão simples, ficamos procurando como complicar...Parabéns pela sensibilidade"
97,"Mano, que coisa massa! Música linda! Deus lhes abençoe!"
98,"Deus te abençoe sempre , e esse DOM seja usado sempre para obra divina !"
99,"Mano que música linda, que voz linda, que mv lindo eu to emocionada"
100,"Música Bíblica, que aquece nosso coração para cumprir o maior mandamento que nosso cristo nos deixou. Obrigado por essa canção Mauro, Deus abençoe cada dia mais"
101,"Com tanto gospel falando bobagem, quando  ouço uma música pregando realmente o evangelho fico tão feliz... Mauro é talentoso pra caramba!"
102,"Em meio à tantas músicas ""cristãs"" emocionais e repetitivas, essa canção é um oásis no deserto. Nos remete ao compromisso simples, objetivo e sério que o evangelho propõe."
103,"Mauro, infelizmente temos poucos músicos cristãos brasileiros responsáveis pelo que pregam. É nessas horas que entendo porquê sempre gostei do Oficina G3 e nunca me enjôo, e é muito bom ver que vc é mais um responsável com o que prega para o seu público. É inexplicável a lucidez e sentimento que esta música traz... Deus seja contigo sempre, brother!"
104,"Filhinhos, não amemos só de palavra ou de aparência, mas em verdade, mostrando-o pelas nossas ações. 
1João 3:18🥰❤️🔥 , que unção,que Deus continue abençoando você 🙌🏾"
105,"O defeito dessa música é que é mto rápida aí acaba logo, diminui esses bpm aí Mauro, pra a gente curtir mais um pouquinho rsrs"
106,"Um cara com esse talento todo e enorme, com humildade pra dizer ""também sou teu pequenino"" pra fechar essa música linda demais. Parabéns, super Mauro."
107,"Que isso jovem ?!
Além de ser um super clipe, essa canção é riquíssima. Letra, arranjo, voz. Perfeita. Deus abençoe você Mauro."
108,"MAURO HENRIQUE E FERNANDINHO!!
Quem apoia esse duo? 🔥"
109,"Mauro Henrique, eu chorei depois de ouvir essa canção várias vezes, depois de entender tudo que Deus queria falar através desse louvor, eu agradeço a Deus pela sua vida e por ser um canal de bênçãos na vida de muitos, entendi tudo antes de ver a reflexão da canção e depois só conformei assistindo a reflexão, continue assim deixando Deus usar você, você certamente é um pequenino de Deus."
110,"A vida inteira me escondendo pra não te encontrar
Te transformei num jeito de pensar
Em uma lei que eu tinha que guardar
Imitei canções e versos pra impressionar"
111,Falou demais ao meu coração. O que a alma que realmente quer encontrar Cristo grita...
112,Essa música nos inspira a viver o evangelho verdadeiro ❤
113,ESSA É A VOZ MAIS LINDA DO MUNDOOOOOOOOOOOOOOOOOOOOOOOOOOOOO GLÓRIA A DEUS POR ESSA VOZ E PELA MENSAGEM.
114,"A primeira vez ouvi meio por cima, quase nem prestei atenção na letra, então escutei de novo e não consigo mais parar. Que letra maravilhosa, isso é evangelho!"
115,"""Pois eu também sou seu pequenino"" Aleluia!"
116,"Para mim um dos melhores artistas! Além de uma versatilidade vocal incrível, é  multi-instrumentista  talentoso e criativo. Suas canções são poéticas, e cheias de ideias relevantes, que são bem interpretadas pelo cantor. A junção de todos os seus recursos musicais, nos levam a uma profunda reflexão..."
117,Letra maravilhosa😭🤩❤
118,Deus seja louvado! Deus te abençoe Mauro!
119,Cara chorei Mauro Que Benção de canção q voz magnífica Que Deus continue abençoando Toda a sua vida
120,"meu deus  eu nao paro de refleti sobre o pequenino 
obrigado Mauro Henrique"
121,Mauro começou 2020 com tudo... Parabéns ....❤️🎶
122,"""Ainda que eu falasse as línguas dos homens e dos anjos, se não tiver caridade, sou como o bronze que soa, ou como o címbalo que retine.
Mesmo que eu tivesse o dom da profecia, e conhecesse todos os mistérios e toda a ciência; mesmo que tivesse toda a fé, a ponto de transportar montanhas, se não tiver caridade, não sou nada."
123,"Do nada achei essa canção, e não consigo parar de ouvir, muito inspiradora."
124,"Mauro meu filho de 1 ano pode ouvir todas as playlist que existir, mais só dorme depois que ouve sua voz cara. Kkkk
Cara Deus te abençoe cada vez mais."
125,ouvir sua musica me deixa com o meu coraçao transbordando de felicidade. otmas palavras parabens pelo dom. =)
126,"Mano querido do Coração !!!!

Pois eu também sou Teu pequenino  !  [Ouvir e Assistir em Loop sem parar] "
127,Viciada nessa canção!!!!!
128,Melhor música que o Mauro ja fezz
129,"Mauro, você não tem ideia do soco que essa música me deu... Fiquei em choque! Muito forte essa letra. Que o Senhor Deus te abençoe a cada dia mais!"
130,"rapaz... letra, arranjo e voz! que música incrível, que letra incrível! Deus te abençoe, meu irmão"
131,"EU 
NÃO 
CONSIGO 
PARAR "
132,Esse refrão da canção é MT lindo parabéns pelo dom
133,Repito: Estou descobrindo as melhores músicas nesta pandemia.
134,"É, não  tem nenhuma recomendação vinda através de supercombo/scatolove que seja ruim, melhor ainda qnd edifica S2"
135,"Amo essa canção ❤️
Muito linda 👏🏼👏🏼👏🏼👏🏼"
136,Que mensagem forte!!! Glória a Deus!
137,"Que música é essa parabéns, ouvindo toda hora, top demais. Deus abençoe"
138,Quando alimentei enfim vi Cristo! ❤️
139,"""Quando abracei, quando visitei, quando alimentei, enfim vi Cristo"" ...  Meu novo vício! Música linda, letra linda. Que essa canção alcance muitas vidas."
140,"Que música maravilhosa, cara!
 ""Quando alimentei enfim vi Cristo"""
141,"E eu achando que não ia levar outro tapa na cara igual ao de quando ouvi sua versão de aonde está Deus, tomei kkkkkk"
142,"Deus te abençoe por esse imenso talento de compor uma música tão tocante,,, estou emocionado 👏🏻👏🏻👏🏻"
143,"Musica divina, trabalho incrível Mauro! 
Obrigado por essa canção!"
144,"Já deu certo Mauro, que linda música"
145,Que mais músicas e cantores assim!
146,ATRAVES DE VOCE MAURO MUITAS PESSOAS VAO SE CONVERTER E SE ENTREGAR A JESUS
147,"Aeee Mauro, quando estava desviada voltei a ouvir oficina e o show DDG me fez voltar a atenção novamente a Cristo! Mas de todas, João me faz chorar toda vez que ouço! Muito obrigado, Deus abençoe sua caminhada irmão 🙏🏻"
148,"Mauro, você é incrível cara. Deus te abençoe sempre!"
149,"Parabéns, Mauro! Que canção linda!! Não somente o amor que sinto nas suas canções, mas a unção que transmite faz a diferença nos dias de hoje. Deus abençoe!"
150,"Conheci hoje, e cara... fantástico! Grava ai: VOCÊ IRÁ LONGEEEEEEE!"
151,"Surpreendida em cada detalhe. Bom mesmo. Bom demais da conta, como diria aqui no meu Goiás!
A letra é uma pregação maravilhosa!!!"
152,Acho que Deus te usou pra falar comigo através dessa canção!!!
153,"Tudo lindo, voz linda, música linda, mas esse visual teen já deu..."
154,"Pensa numa música que falou comigo. Cara música muito linda, está de parabéns continue sempre assim  deixe  Deus te usar."
155,Amei Mauro... Deus venha te inpirar muito.. Blessed!
156,"Cara, a essência! E é tão simples, ficamos procurando como complicar...Parabéns pela sensibilidade"
157,"Mano, que coisa massa! Música linda! Deus lhes abençoe!"
158,"Deus te abençoe sempre , e esse DOM seja usado sempre para obra divina !"
159,"Mano que música linda, que voz linda, que mv lindo eu to emocionada"
160,"Que produção!!! Áudio visual ,figurino ,etc 

Mauro sempre evoluindo"
161,"Resposta de saber ""Aonde Está Deus""... Magnífico"
162,"Dinastia Pitmonster na área!
Parabéns Mauro 👏🏽👏🏽👏🏽"
163,Cara só pode ser ateu quem da dislike....tem misericórdia Deus Deste povo.....não consigo para de cantar esse louvor.....que escencia esse louvor....lindo
164,"""Quem segue o Messias, automaticamente segue a lei! Hilel estava certo! Essa é a justiça de Deus!"
165,"Sou fã do talento que Deus deu à você, Mauro!"
166,"Como sempre, uma musica de qualidade!!!!!"
167,Meu Deus que musica é essa coisa maravilhosa demais revigora o coração
168,Maravilha maravilhoso 👍👍👍👍👍👍👍👍👍👍👍👍
169,Absurdamente emocionado.
170,"Caramba q letra❤misturado com o Mauro,mt bao"
171,"Caraca muleque!!! Que som loco!! Saudade de todos vocês, mano!! Abração em todos!
Julão"
172,Uma das canções mais lindas que já ouvi nos últimos tempos. Vício instantâneo
173,Que música linda... me dá nostalgia e percebo Deus dentro de mim msm.
174,"Que mensagem maravilhosa dessa canção, instrumental toppppp, Glória Deus pela sua vida"
175,Trazendo sempre arranjos maravilhosos e inovadores👏👏10.
176,"Cara, bênção man que Deus continue a te inspirar 🙏"
177,Um dos melhores músicos q ja vi/ouvi!
178,MELHOR LOUVOR CARA!!! 😭
179,Essa música mostra onde Deus quer ser encontrado: No próximo! ❤
